id,comercioId,banderaId,banderaDescripcion,comercioRazonSocial,provincia,localidad,direccion,lat,lng,sucursalNombre,sucursalTipo
10151,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,TIGRE,SANTA MARIA DE LAS CONCHAS 4500,-34.406164000000004,-58.619971,Rincon de Milberg,Hipermercado
10152,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,LOMAS DE ZAMORA,LAS HERAS 1163,-34.748145,-58.411227,Banfield,Hipermercado
10153,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-Q,NEUQUEN,ANTARTIDA ARGENTINA 3600,-38.94682,-68.110433,Neuquén Antártida Argentina,Hipermercado
10154,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-X,VILLA ALLENDE LOMAS,AV. RIO DE JANEIRO 1787,-31.300019,-64.276462,Córdoba Villa Allende,Hipermercado
10155,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-P,FORMOSA,AV. GUSTNISKY 2040,-26.190381,-58.187564,Formosa La Rural,Hipermercado
10156,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,GLEW,AV. HIPOLITO YRIGOYEN 20260,-34.883091,-58.38823000000001,Glew,Hipermercado
10157,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,TANDIL,AV. DEL VALLE 324,-37.31454,-59.147927,Tandil III,Hipermercado
10158,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,BALCARCE,AV. SAN MARTIN 405,-37.833135,-58.237878,Balcarce,Hipermercado
1016,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-C,CIUDAD AUTONOMA DE BUENOS AIRES,JERONIMO SALGUERO 3212,-34.574635,-58.403801,Salguero,Hipermercado
10163,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-Z,SANTA CRUZ,HUMBERTO BEGHIN 762,-46.444906,-67.533789,Caleta Olivia,Hipermercado
1017,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,QUILMES,AV. LA PLATA 1400,-34.735911,-58.277988,Quilmes,Hipermercado
1018,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-B,LA PLATA,CAMINO GRAL. BELGRANO NONE,-34.893654999999995,-57.996156000000006,La Plata,Hipermercado
1019,10,1,HIPERMERCADO CARREFOUR,INC S.A.,AR-X,VILLA URQUIZA,AV. COLON 4880,-31.393915000000003,-64.242835,Córdoba Colon,Hipermercado
102101,10,2,MARKET,INC S.A.,AR-B,AVELLANEDA,AV. BELGRANO 422,-34.661465,-58.368212,Avellaneda II,Supermercado
102109,10,2,MARKET,INC S.A.,AR-B,LA PLATA,CALLE 7 767,-34.913497,-57.951821,La Plata I,Supermercado
102110,10,2,MARKET,INC S.A.,AR-W,CORRIENTES,JUNIN 1336,-27.467798,-58.83402099999999,Corrientes Junin,Hipermercado
102114,10,2,MARKET,INC S.A.,AR-B,BAHIA BLANCA,BROWN 51,-38.72041,-62.26794200000001,Bahia Blanca I,Supermercado
102115,10,2,MARKET,INC S.A.,AR-C,CIUDAD AUTONOMA DE BUENOS AIRES,AV. RIVADAVIA 6538,-34.627423,-58.45817,Flores,Supermercado
102116,10,2,MARKET,INC S.A.,AR-C,CIUDAD AUTONOMA DE BUENOS AIRES,AV. SANTA FE 1954,-34.595813,-58.395425,Av. Santa Fe 1954,Supermercado
102118,10,2,MARKET,INC S.A.,AR-C,CIUDAD AUTONOMA DE BUENOS AIRES,VICENTE LOPEZ 1676,-34.591951,-58.389726,Vicente López 1676,Hipermercado
102119,10,2,MARKET,INC S.A.,AR-X,RIO CUARTO,SOBREMONTE 902,-33.125271000000005,-64.349014,Río Cuarto,Supermercado
102120,10,2,MARKET,INC S.A.,AR-C,CIUDAD AUTONOMA DE BUENOS AIRES,AV. CABILDO 2441,-34.558821,-58.459349,Belgrano Cabildo,Supermercado
102122,10,2,MARKET,INC S.A.,AR-Y,JUJUY,BELGRANO 823,-24.185348,-65.304604,Jujuy,Hipermercado
102125,10,2,MARKET,INC S.A.,AR-E,PARANA,URUGUAY 35,-31.730408,-60.528649,Parana Uruguay,Supermercado
102130,10,2,MARKET,INC S.A.,AR-B,MAR DEL PLATA,CATAMARCA 1965,-37.998923,-57.553648,Mar del Plata Centro,Supermercado
102132,10,2,MARKET,INC S.A.,AR-K,SAN FERNANDO DEL VALLE DE CATAMARCA,RIVADAVIA 945,-28.472753000000004,-65.77843399999999,Catamarca II,Supermercado
102134,10,2,MARKET,INC S.A.,AR-B,TANDIL,9 DE JULIO 548,-37.326474,-59.135087,Tandil II,Supermercado
102135,10,2,MARKET,INC S.A.,AR-F,LA RIOJA,25 DE MAYO 151,-29.411481,-66.856755,La Rioja,Supermercado
102137,10,2,MARKET,INC S.A.,AR-D,SAN LUIS,PRINGLES 963,-33.302748,-66.336848,San Luis,Supermercado
102138,10,2,MARKET,INC S.A.,AR-E,CONCORDIA,ENTRE RIOS 635,-31.396866,-58.01860300000001,Concordia II,Supermercado
102141,10,2,MARKET,INC S.A.,AR-P,FORMOSA,ESPANA 198,-26.18141,-58.166895,Formosa,Hipermercado
102143,10,2,MARKET,INC S.A.,AR-Z,RIO GALLEGOS,AV. DR. NESTOR KIRCHNER 742,-51.62268,-69.21284,Río Gallegos,Hipermercado
102144,10,2,MARKET,INC S.A.,AR-B,LA PLATA,CALLE 12 1200,-34.923010999999995,-57.94993100000001,La Plata II,Supermercado
102146,10,2,MARKET,INC S.A.,AR-U,TRELEW,9 DE JULIO 194,-43.251438,-65.30959200000001,Trelew II,Supermercado
102148,10,2,MARKET,INC S.A.,AR-C,CIUDAD AUTONOMA DE BUENOS AIRES,AV. RIVADAVIA 999,-34.608259000000004,-58.38053299999999,9 de Julio,Supermercado
102150,10,2,MARKET,INC S.A.,AR-C,CIUDAD AUTONOMA DE BUENOS AIRES,SANTA FE 3368,-34.587468,-58.412707,Vidt,Supermercado
102151,10,2,MARKET,INC S.A.,AR-C,CIUDAD AUTONOMA DE BUENOS AIRES,AV. RIVADAVIA 2243,-34.609491,-58.398323,Uriburu,Supermercado
102154,10,2,MARKET,INC S.A.,AR-B,LANUS,AV. HIPOLITO YRIGOYEN 4435,-34.706014,-58.3919,Lanús,Supermercado
102165,10,2,MARKET,INC S.A.,AR-U,PUERTO MADRYN,28 DE JULIO 136,-42.766295,-65.035411,Puerto Madryn II,Supermercado
102167,10,2,MARKET,INC S.A.,AR-Y,JUJUY,BALCARCE 408,-24.184117,-65.305676,Jujuy I,Hipermercado
102168,10,2,MARKET,INC S.A.,AR-Y,JUJUY,AV. 19 DE ABRIL 779,-24.18892,-65.303701,Jujuy II,Supermercado
102176,10,2,MARKET,INC S.A.,AR-T,SAN MIGUEL DE TUCUMAN,24 DE SEPTIEMBRE 653,-26.830652,-65.206887,Tucumán I,Supermercado
102177,10,2,MARKET,INC S.A.,AR-T,SAN MIGUEL DE TUCUMAN,SAN MARTIN 344,-26.830278000000003,-65.20201,Tucumán II,Supermercado
102181,10,2,MARKET,INC S.A.,AR-E,PARANA,SANTA FE 606,-31.722868,-60.529162,Parana Parque,Supermercado
